# Data taken with Python For the Lab (MC version)
# Scan folder: AOFT_freq_to_wavelength_calibration_1 
# First col: Freq in MHz
# Second col: Wavelength nm 
# Third col: Amplitude (intensity from Spectrometer units with 10us int time) 
# Fourth col: Spectral width in nm 
69.46000 813.02741 1612.66700 1.00526
69.47000 812.98872 1584.33300 0.98603
69.48000 812.91093 1622.66700 0.98671
69.49000 812.83263 1600.33300 0.98667
69.50000 812.79282 1664.00000 0.99120
69.51000 812.66170 1614.00000 1.01243
69.52000 812.64348 1617.33300 1.00071
69.53000 812.55463 1583.33300 1.03960
69.54000 812.44135 1548.66700 1.01069
69.55000 812.41397 1551.00000 1.03978
69.56000 812.31846 1499.33300 1.05415
69.57000 812.26870 1464.33300 1.03670
69.58000 812.12158 1398.66700 1.14664
69.59000 812.05646 1440.00000 1.08431
69.60000 811.92344 1403.66700 1.14680
69.61000 811.88368 1451.00000 1.09289
69.62000 811.83013 1382.66700 1.14720
69.63000 811.61975 1383.66700 1.17163
69.64000 811.58630 1341.66700 1.20364
69.65000 811.41647 1341.00000 1.23251
69.66000 811.24611 1290.33300 1.20911
69.67000 811.15067 1283.66700 1.22817
69.68000 811.09153 1237.33300 1.26278
69.69000 810.96059 1186.33300 1.29772
69.70000 810.77805 1218.33300 1.23262
69.71000 810.68751 1216.66700 1.27643
69.72000 810.56317 1243.66700 1.22011
69.73000 810.41098 1260.33300 1.22962
69.74000 810.26259 1251.33300 1.22459
69.75000 810.10516 1187.66700 1.30390
69.76000 810.03454 1257.66700 1.25239
69.77000 809.93860 1232.00000 1.18867
69.78000 809.77986 1239.66700 1.22217
69.79000 809.69720 1223.33300 1.18431
69.80000 809.60495 1244.33300 1.14717
69.81000 809.47673 1305.33300 1.11705
69.82000 809.34904 1353.66700 1.14099
69.83000 809.22354 1309.33300 1.17223
69.84000 809.14988 1320.33300 1.14072
69.85000 809.03393 1318.00000 1.10809
69.86000 808.96512 1349.33300 1.06769
69.87000 808.82561 1334.33300 1.06354
69.88000 808.76752 1409.66700 1.02268
69.89000 808.75356 1407.33300 1.08888
69.90000 808.57970 1367.00000 1.12269
69.91000 808.46199 1384.66700 1.07499
69.92000 808.44689 1410.00000 1.09653
69.93000 808.31670 1411.00000 1.05119
69.94000 808.18836 1374.33300 1.06711
69.95000 808.17815 1385.00000 1.07630
69.96000 808.06153 1411.00000 1.00934
69.97000 807.96158 1350.33300 1.07925
69.98000 807.87715 1365.33300 1.11750
69.99000 807.82722 1360.66700 1.06871
70.00000 807.74348 1305.33300 1.11224
70.01000 807.51500 1310.00000 1.11732
70.02000 807.47502 1304.66700 1.15353
70.03000 807.37844 1277.66700 1.17673
70.04000 807.21918 1300.33300 1.13507
70.05000 807.12187 1291.00000 1.15995
70.06000 807.00926 1310.00000 1.08829
70.07000 806.85565 1372.33300 1.06415
70.08000 806.74278 1325.00000 1.14186
70.09000 806.68447 1315.66700 1.07127
70.10000 806.60954 1423.66700 1.07912
70.11000 806.47387 1380.00000 1.08152
70.12000 806.42165 1439.00000 1.05144
70.13000 806.28780 1419.66700 1.08768
70.14000 806.28788 1369.33300 1.07330
70.15000 806.13107 1356.33300 1.07424
70.16000 806.05826 1446.33300 1.06101
70.17000 806.05190 1221.33300 1.17313
70.18000 805.94599 1228.66700 1.18821
70.19000 805.87384 1258.66700 1.18077
70.20000 805.71017 1203.33300 1.16723
70.21000 805.53142 1209.33300 1.16282
70.22000 805.40476 1183.00000 1.16971
70.23000 805.36832 1185.33300 1.18834
70.24000 805.22298 1228.00000 1.16663
70.25000 805.07604 1254.66700 1.13798
70.26000 805.04035 1309.33300 1.04169
70.27000 804.93099 1275.66700 1.07990
70.28000 804.73827 1294.33300 1.07375
70.29000 804.71784 1296.00000 1.06895
