# Data taken with Python For the Lab (MC version)
# Scan folder: Nir_run_1 
# First col: Freq in MHz
# Second col: Wavelength nm 
# Third col: Amplitude (intensity from Spectrometer units with 15uW int time) 
# Fourth col: Spectral width in nm 
104.75000 576.06748 41939.00000 0.65704
105.00000 575.00040 41365.66800 0.64996
105.25000 573.93044 39256.00000 0.64921
105.50000 572.86506 40087.66800 0.64754
105.75000 571.80761 39297.33200 0.64978
106.00000 570.75038 38365.00000 0.64527
106.25000 569.70691 38246.00000 0.64560
106.50000 568.66800 37037.00000 0.63765
106.75000 567.64323 37914.00000 0.64068
107.00000 566.60944 36217.00000 0.63994
107.25000 565.58170 37275.33200 0.64005
107.50000 564.57030 36610.00000 0.63163
107.75000 563.56590 35126.00000 0.63205
108.00000 562.54742 35279.00000 0.63515
108.25000 561.53691 35193.33200 0.63304
108.50000 560.53170 36205.00000 0.63034
108.75000 559.54458 37754.33200 0.62997
109.00000 558.56016 39567.00000 0.62246
109.25000 557.58565 40435.00000 0.61973
109.50000 556.63266 40018.66800 0.61470
109.75000 555.71882 35120.66800 0.61041
110.00000 554.63587 31488.66600 0.63428
110.25000 553.70772 37364.00000 0.61157
110.50000 552.77568 36604.33200 0.61286
110.75000 551.82626 35856.00000 0.61546
111.00000 550.87182 33669.33200 0.61048
111.25000 549.92344 34572.66800 0.60845
111.50000 548.97781 34450.00000 0.60286
111.75000 548.06463 34196.33200 0.60399
112.00000 547.16124 30344.33400 0.60621
112.25000 546.17807 28338.33400 0.61579
112.50000 545.24735 32591.00000 0.59542
112.75000 544.35164 35319.66800 0.59349
113.00000 543.46341 34184.66800 0.59415
113.25000 542.67284 24353.00000 0.61300
113.50000 541.55301 29322.66600 0.57325
113.75000 540.72434 34337.33200 0.59429
114.00000 539.84156 35707.00000 0.59070
114.25000 538.95095 33973.00000 0.59054
114.50000 538.06539 33981.00000 0.58947
114.75000 537.17987 34613.00000 0.59448
115.00000 536.30505 33196.33200 0.58914
115.25000 535.42706 33069.33200 0.58814
115.50000 534.55705 32848.33200 0.58926
115.75000 533.69453 31596.66600 0.58192
116.00000 532.83533 33718.00000 0.58380
116.25000 531.98172 33382.66800 0.58150
116.50000 531.13054 33666.33200 0.58098
116.75000 530.28399 33478.00000 0.57897
117.00000 529.44098 31609.66600 0.57439
117.25000 528.61014 31201.00000 0.57298
117.50000 527.77009 29517.00000 0.57095
117.75000 526.94886 30188.33400 0.57391
118.00000 526.11066 28193.00000 0.57094
118.25000 525.29098 29163.00000 0.57391
118.50000 524.46957 27001.33400 0.57192
118.75000 523.65190 27504.33400 0.57293
119.00000 522.83870 26806.66600 0.56915
119.25000 522.03363 25885.00000 0.57063
119.50000 521.21790 26063.00000 0.56572
119.75000 520.42428 26133.66600 0.56581
120.00000 519.62171 25178.66600 0.56687
120.25000 518.82650 25630.66600 0.56045
120.50000 518.04302 27509.00000 0.56244
120.75000 517.25586 26940.33400 0.56267
121.00000 516.48173 26270.66600 0.55982
121.25000 515.70165 26122.33400 0.56057
121.50000 514.92628 25089.00000 0.56012
121.75000 514.15562 24033.33400 0.55865
122.00000 513.39053 25645.33400 0.55825
122.25000 512.62752 24905.66600 0.55718
122.50000 511.86127 25065.33400 0.55243
122.75000 511.11139 25897.00000 0.55757
123.00000 510.35600 24870.33400 0.55176
123.25000 509.64214 23268.66600 0.54746
123.50000 508.83522 17067.33400 0.59632
123.75000 508.07635 25255.66600 0.54941
124.00000 507.36269 27306.66600 0.55580
124.25000 506.61837 27613.00000 0.55229
124.50000 505.89051 27973.00000 0.54826
124.75000 505.16145 29480.66600 0.54866
125.00000 504.43734 30021.33400 0.55263
125.25000 503.71539 30995.66600 0.55035
125.50000 502.98965 32527.00000 0.54665
